000636,风华高科
000733,振华科技
002023,海特高新
002080,中材科技
002138,顺络电子
002384,东山精密
002407,多氟多
002428,云南锗业
002430,杭氧股份
002436,兴森科技
002463,沪电股份
002549,凯美特气
002617,露笑科技
002859,洁美科技
002916,深南电路
002938,鹏鼎控股
300196,长海股份
300236,上海新阳
300263,隆华科技
300285,国瓷材料
300316,晶盛机电
300346,南大光电
300408,三环集团
300476,胜宏科技
300489,光智科技
300540,蜀道装备
300576,容大感光
300655,晶瑞电材
300666,江丰电子
300706,阿石创
300726,宏达电子
301150,中一科技
301217,铜冠铜箔
301511,德福科技
301526,国际复材
600110,诺德股份
600176,中国巨石
600183,生益科技
600206,有研新材
600460,士兰微
600703,三安光电
601958,金钼股份
603078,江化微
603186,华正新材
603228,景旺电子
603267,XD鸿远电
603306,华懋科技
603595,ST东尼
603650,彤程新材
603678,火炬电子
603931,格林达
603993,洛阳钼业
605006,山东玻纤
688106,金宏气体
688146,中船特气
688234,天岳先进
688268,华特气体
688388,嘉元科技
688498,源杰科技
688549,中巨芯
